lambda,train_error,test_error,instability
0.0,2749.2784397563464,3368.0413766713436,0.3070568326662863
0.001,2749.278444056656,3368.010812122764,0.3070474468893977
0.0018873918221350976,2749.278455065926,3367.983714338356,0.307039137747481
0.003562247890262444,2749.2784942311546,3367.9326340182315,0.30702347678081787
0.006723357536499335,2749.278633395232,3367.8364521914714,0.3069939730942212
0.01268961003167922,2749.279126776227,3367.655723272181,0.3069384501315769
0.02395026619987486,2749.2808686305934,3367.3174547939607,0.3068342719220336
0.04520353656360243,2749.2869699063067,3366.6889481781473,0.3066403909312995
0.08531678524172806,2749.3080301079567,3365.53700433396,0.3062835922859426
0.16102620275609392,2749.3787911921786,3363.4779808645935,0.3056430476439736
0.3039195382313198,2749.6052834888715,3359.9597530939245,0.3045651503569865
0.5736152510448681,2750.271808826018,3354.397927384059,0.30283244392798664
1.0826367338740541,2751.983053397066,3346.640771241327,0.3002966901750833
2.0433597178569416,2755.5785863771544,3337.608114184213,0.29691735485960213
3.856620421163472,2761.4363678516033,3329.147238843859,0.2928797336974096
7.278953843983146,2768.7949787589146,3322.631089563844,0.2878285779174826
13.738237958832638,2776.6799038104095,3318.195541011205,0.28037218023535504
25.92943797404667,2786.279498309329,3316.2090631063766,0.2693546266039341
48.93900918477489,2803.967485830886,3320.3712786848414,0.2534058500419196
92.36708571873865,2846.0621500644606,3342.2850805818275,0.23247684434029736
174.33288221999874,2943.7611448006824,3405.885059578335,0.2087334528520136
329.0344562312671,3138.2939128092657,3544.130401520823,0.18510348416764213
621.0169418915616,3459.330315882486,3783.017785878494,0.16793459110229444
1172.1022975334793,3902.2949205213017,4123.399558738095,0.16172064249183773
2212.21629107045,4417.026550101421,4527.974815629582,0.16442053345303861
4175.3189365604,4914.588306869229,4924.234085298334,0.1715083420472608
7880.462815669905,5314.5914897647035,5244.874542386292,0.1782322243155311
14873.521072935118,5590.378289461095,5466.60863243199,0.18263110582770198
28072.162039411756,5761.02023377398,5603.9970823302265,0.18525544078709139
52983.16906283702,5859.682995654862,5683.486339773512,0.18675324486178463
100000.0,5914.520012731235,5727.681385050767,0.1875784114708003
