lambda,ridge_train_error,ridge_test_error,ridge_instability,ridge_zeros,lasso_train_error,lasso_test_error,lasso_instability,lasso_zeros
0.0,260.0593001840781,780.6497818667597,2.4901091309189622,0,260.0593003099295,780.649493915119,2.4900817471775474,0
0.001,260.05930118714866,780.6316430090098,2.489895943299106,0,260.0593003931649,780.6474382093763,2.4900523853259227,0
0.00206913808111479,260.05930447777115,780.6122647458144,2.489668066666854,0,260.05930053158596,780.6452406863784,2.4900213684142405,0
0.004281332398719396,260.05931855985017,780.5722165728946,2.4891967236496297,0,260.0593009801978,780.6406947260411,2.489957190038658,0
0.008858667904100823,260.0593787953195,780.4895571033819,2.4882221564965628,0,260.0593026028673,780.6312928655655,2.4898236338097943,0
0.018329807108324356,260.05963620093144,780.3194011510991,2.4862086621202253,0,260.05930893347886,780.611857781095,2.4895499119424875,0
0.0379269019073225,260.0607339871764,779.9710580980875,2.482055342016462,0,260.0593347611507,780.5717238105266,2.488988265341958,0
0.07847599703514611,260.06539668499227,779.2660479475825,2.473526873042965,0,260.05944269823283,780.4890231742013,2.487829446086618,0
0.1623776739188721,260.08503577996834,777.8728333982572,2.456125602944176,0,260.05989935071926,780.3193687414945,2.4854312637925178,0
0.3359818286283781,260.1663721844128,775.2545656241284,2.421120364614378,0,260.0618431300877,779.9746007474852,2.4805247030187187,0
0.6951927961775606,260.49229380637644,770.8410268209789,2.3529418607391652,0,260.0697874055707,779.1946577230688,2.470325889187078,1
1.438449888287663,261.72078652813263,765.0907497272259,2.2321862679078497,0,260.10345572253226,777.6416479643342,2.4487939123529983,1
2.976351441631316,265.90120333826883,762.2875622148657,2.0374074134683458,0,260.2277081151734,776.8290335782044,2.4040844139593265,2
6.158482110660261,278.23340153210177,772.6819534724491,1.7693799743050551,0,260.70853283558944,779.3043865272173,2.345007480932707,0
12.742749857031322,309.5066581987594,805.7932992724136,1.4625863509653678,0,262.81570983956954,788.566810472291,2.2603803707265966,1
26.366508987303554,379.94078004187674,858.8346552226678,1.1712833765929722,0,271.44947164102393,827.8638760543672,2.1245429022164593,2
54.555947811685144,522.3565515905218,921.8141328981374,0.9334044188298242,0,298.4906340721888,943.4636006439239,1.7657450538084418,10
112.88378916846884,764.8967081786643,991.8463422091296,0.7225232141677383,0,349.2866016407752,991.8024853788016,1.4992576944645533,12
233.57214690901213,1083.8294249032137,1068.745473311388,0.5440156962350329,0,501.60236261554735,1063.954876613168,1.349844391116469,19
483.2930238571752,1396.1806732499772,1141.7855934395077,0.43631468433401277,0,956.005669068699,1077.7282127639623,1.3094565551675172,25
1000.0,1631.5129136469884,1197.4648455651025,0.41046814949955374,0,1732.5930946331805,1272.105977237562,0.5492578238952843,38
